Id,SalePrice
1461,124233.0769
1462,166195.4464
1463,172205.9663
1464,190110.1237
1465,214110.8332
1466,168892.7103
1467,170713.3362
1468,160695.0276
1469,200157.8732
1470,109124.3576
1471,175352.2122
1472,99176.52622
1473,95981.91747
1474,149144.6966
1475,128171.1804
1476,357663.6566
1477,250553.9734
1478,286148.9455
1479,306644.7064
1480,476684.6855
1481,325956.2324
1482,221881.6716
1483,191108.3132
1484,158807.2651
1485,192515.6257
1486,196282.2229
1487,361295.5207
1488,238056.4075
1489,200945.4706
1490,251037.7496
1491,193751.085
1492,100930.7328
1493,186684.9559
1494,291542.5045
1495,278988.6087
1496,229878.7573
1497,192456.2366
1498,169722.7509
1499,164267.8134
1500,156768.8002
1501,171122.005
1502,156087.0447
1503,260664.5086
1504,233638.6737
1505,218930.2059
1506,182109.7278
1507,235970.4924
1508,194459.6875
1509,162145.3206
1510,132397.5993
1511,136119.4714
1512,173023.4031
1513,160665.7543
1514,172248.052
1515,203482.8659
1516,151144.7304
1517,178763.4243
1518,134277.7206
1519,194673.3728
1520,124989.5009
1521,131434.4336
1522,166630.1429
1523,112534.6746
1524,130403.3756
1525,124555.1598
1526,124754.4121
1527,102808.6758
1528,134785.7155
1529,131187.7162
1530,187852.501
1531,104707.2634
1532,97417.27226
1533,148374.4984
1534,119796.8833
1535,150359.2296
1536,108137.9133
1537,52201.18806
1538,160211.1972
1539,190936.7967
1540,113837.449
1541,135958.4602
1542,135905.9933
1543,189461.0206
1544,90271.60173
1545,129069.9298
1546,129604.0132
1547,140385.743
1548,143239.5569
1549,116079.7035
1550,123160.1523
1551,105274.226
1552,114848.6613
1553,145416.5202
1554,114085.4228
1555,162878.9204
1556,94080.75999
1557,111494.3171
1558,112476.4731
1559,73098.12568
1560,127297.8808
1561,133728.9092
1562,134483.4265
1563,116095.8907
1564,147868.3119
1565,137340.3398
1566,229185.7862
1567,81810.22076
1568,212583.3604
1569,106350.5373
1570,141967.9783
1571,102717.0148
1572,130407.5236
1573,220995.8569
1574,112085.1418
1575,231415.8551
1576,206855.3002
1577,179178.631
1578,133965.0663
1579,150923.4623
1580,186050.9148
1581,161021.7083
1582,126965.3139
1583,262271.0546
1584,216416.0088
1585,143554.7959
1586,79098.45416
1587,113589.3206
1588,143839.4314
1589,105953.452
1590,131277.1302
1591,88674.9698
1592,113704.6726
1593,128518.7696
1594,167425.3797
1595,101927.3285
1596,207207.5841
1597,193910.8475
1598,241605.5628
